Province,Date,Cumulative confirmed cases,Confirmed cases per day,Cumulative death cases,Deaths per day,Cumulative hospitalizations cases,hospitalizations per day,Cumulative vaccine coverage dose1,Vaccine coverage dose1 per day,Mortality rate,Daily mortality rate
Alberta,2020-12-19,89993,1306,851,10,777,18,0.0,0.0,0.946,0.766
British Columbia,2020-12-19,46932,579,724,0,356,0,0.1,0.1,1.543,0.0
Nunavut,2020-12-19,259,0,0,0,0,0,0.0,0.0,0.0,0.0
Prince Edward Island,2020-12-19,91,1,0,0,0,0,0.0,0.0,0.0,0.0
Saskatchewan,2020-12-19,13329,252,115,8,127,6,0.1,0.1,0.863,3.175
Manitoba,2020-12-19,22642,240,583,4,378,0,0.1,0.1,2.575,1.667
Northwest Territories,2020-12-19,24,0,0,0,0,0,0.0,0.0,0.0,0.0
Nova Scotia,2020-12-19,1443,2,65,0,0,0,0.1,0.1,4.505,0.0
Newfoundland and Labrador,2020-12-19,380,8,4,0,1,0,0.2,0.2,1.053,0.0
Ontario,2020-12-19,157823,2276,4245,37,942,43,0.0,0.0,2.69,1.626
Yukon,2020-12-19,69,0,1,0,0,0,0.0,0.0,1.449,0.0
New Brunswick,2020-12-19,574,1,8,0,3,0,0.0,0.0,1.394,0.0
Northwest Territories,2020-12-20,24,0,0,0,0,0,0.0,0.0,0.0,0.0
Newfoundland and Labrador,2020-12-20,382,2,4,0,1,0,0.2,0.0,1.047,0.0
Nova Scotia,2020-12-20,1445,2,65,0,0,0,0.1,0.0,4.498,0.0
Yukon,2020-12-20,69,0,1,0,0,0,0.0,0.0,1.449,0.0
Ontario,2020-12-20,160161,2338,4280,35,1005,63,0.0,0.0,2.672,1.497
Manitoba,2020-12-20,22865,223,593,10,378,0,0.1,0.0,2.593,4.484
British Columbia,2020-12-20,47435,503,724,0,356,0,0.1,0.0,1.526,0.0
Quebec,2020-12-20,170704,2165,7348,31,1011,6,0.1,0.0,4.305,1.432
Prince Edward Island,2020-12-20,91,0,0,0,0,0,0.0,0.0,0.0,0.0
New Brunswick,2020-12-20,574,0,8,0,3,0,0.0,0.0,1.394,0.0
Nunavut,2020-12-20,259,0,1,1,0,0,0.0,0.0,0.386,0.0
Saskatchewan,2020-12-21,13761,206,122,4,131,8,0.1,0.0,0.887,1.942
Nova Scotia,2020-12-21,1447,2,65,0,0,0,0.1,0.0,4.492,0.0
Manitoba,2020-12-21,23033,168,599,6,382,4,0.1,0.0,2.601,3.571
Yukon,2020-12-21,69,0,1,0,0,0,0.0,0.0,1.449,0.0
Nunavut,2020-12-21,262,3,1,0,0,0,0.0,0.0,0.382,0.0
New Brunswick,2020-12-21,578,4,8,0,3,0,0.0,0.0,1.384,0.0
Prince Edward Island,2020-12-21,91,0,0,0,0,0,0.0,0.0,0.0,0.0
Newfoundland and Labrador,2020-12-21,382,0,4,0,1,0,0.2,0.0,1.047,0.0
Alberta,2020-12-21,92296,1052,871,11,795,35,0.0,0.0,0.944,1.046
Northwest Territories,2020-12-21,24,0,0,0,0,0,0.0,0.0,0.0,0.0
Quebec,2020-12-21,172700,1996,7382,34,1049,38,0.1,0.0,4.274,1.703
Nova Scotia,2020-12-22,1454,7,65,0,0,0,0.1,0.0,4.47,0.0
Yukon,2020-12-22,69,0,1,0,0,0,0.0,0.0,1.449,0.0
Quebec,2020-12-22,174702,2002,7422,40,1056,7,0.1,0.0,4.248,1.998
Prince Edward Island,2020-12-22,91,0,0,0,0,0,0.0,0.0,0.0,0.0
Northwest Territories,2020-12-22,24,0,0,0,0,0,0.0,0.0,0.0,0.0
Alberta,2020-12-22,93632,1336,890,19,802,7,0.0,0.0,0.951,1.422
Nunavut,2020-12-22,262,0,1,0,0,0,0.0,0.0,0.382,0.0
Newfoundland and Labrador,2020-12-22,383,1,4,0,1,0,0.2,0.0,1.044,0.0
British Columbia,2020-12-22,48353,514,777,12,357,16,0.1,0.0,1.607,2.335
Quebec,2020-12-23,176908,2206,7482,60,1068,12,0.1,0.0,4.229,2.72
Newfoundland and Labrador,2020-12-23,384,1,4,0,1,0,0.2,0.0,1.042,0.0
Yukon,2020-12-23,69,0,1,0,0,0,0.0,0.0,1.449,0.0
Saskatchewan,2020-12-23,14101,159,130,5,125,1,0.1,0.0,0.922,3.145
Alberta,2020-12-23,94762,1130,890,0,821,19,0.0,0.0,0.939,0.0
New Brunswick,2020-12-23,585,5,8,0,2,0,0.0,0.0,1.368,0.0
Nova Scotia,2020-12-23,1458,4,65,0,0,0,0.1,0.0,4.458,0.0
Northwest Territories,2020-12-23,24,0,0,0,0,0,0.0,0.0,0.0,0.0
Ontario,2020-12-23,167090,2216,4405,40,997,30,0.0,0.0,2.636,1.805
Nunavut,2020-12-23,264,2,1,0,0,0,0.0,0.0,0.379,0.0
Prince Edward Island,2020-12-23,91,0,0,0,0,0,0.0,0.0,0.0,0.0
Northwest Territories,2020-12-24,24,0,0,0,0,0,0.0,0.0,0.0,0.0
Prince Edward Island,2020-12-24,94,3,0,0,0,0,0.0,0.0,0.0,0.0
Nova Scotia,2020-12-24,1465,7,65,0,0,0,0.1,0.0,4.437,0.0
Yukon,2020-12-24,70,1,1,0,0,0,0.0,0.0,1.429,0.0
Nunavut,2020-12-24,265,1,1,0,0,0,0.0,0.0,0.377,0.0
Alberta,2020-12-24,96002,1240,890,0,821,0,0.0,0.0,0.927,0.0
Newfoundland and Labrador,2020-12-24,384,0,4,0,1,0,0.2,0.0,1.042,0.0
Saskatchewan,2020-12-24,14255,154,134,4,125,0,0.1,0.0,0.94,2.597
Newfoundland and Labrador,2020-12-25,384,0,4,0,1,0,0.2,0.0,1.042,0.0
Northwest Territories,2020-12-25,24,0,0,0,0,0,0.0,0.0,0.0,0.0
Nunavut,2020-12-25,265,0,1,0,0,0,0.0,0.0,0.377,0.0
Manitoba,2020-12-25,23805,176,650,13,346,0,0.1,0.0,2.731,7.386
Alberta,2020-12-25,96906,904,890,0,821,0,0.0,0.0,0.918,0.0
British Columbia,2020-12-25,49847,404,808,0,341,0,0.1,0.0,1.621,0.0
Ontario,2020-12-25,171195,2183,4485,33,1035,53,0.0,0.0,2.62,1.512
Yukon,2020-12-25,70,0,1,0,0,0,0.0,0.0,1.429,0.0
Nova Scotia,2020-12-25,1465,0,65,0,0,0,0.1,0.0,4.437,0.0
Prince Edward Island,2020-12-25,94,0,0,0,0,0,0.0,0.0,0.0,0.0
New Brunswick,2020-12-25,588,1,8,0,1,0,0.0,0.0,1.361,0.0
Saskatchewan,2020-12-25,14255,0,134,0,125,0,0.1,0.0,0.94,0.0
Nunavut,2020-12-26,265,0,1,0,0,0,0.0,0.0,0.377,0.0
Ontario,2020-12-26,173444,2249,4530,45,1128,93,0.0,0.0,2.612,2.001
Prince Edward Island,2020-12-26,94,0,0,0,0,0,0.7,0.7,0.0,0.0
Yukon,2020-12-26,70,0,1,0,0,0,0.0,0.0,1.429,0.0
New Brunswick,2020-12-26,590,2,8,0,1,0,0.3,0.3,1.356,0.0
Newfoundland and Labrador,2020-12-26,384,0,4,0,1,0,0.3,0.1,1.042,0.0
Alberta,2020-12-26,97392,486,890,0,821,0,0.1,0.1,0.914,0.0
British Columbia,2020-12-26,50178,331,808,0,341,0,0.2,0.1,1.61,0.0
Northwest Territories,2020-12-26,24,0,0,0,0,0,0.0,0.0,0.0,0.0
Saskatchewan,2020-12-26,14255,0,134,0,125,0,0.2,0.1,0.94,0.0
Manitoba,2020-12-26,24003,198,655,5,346,0,0.2,0.1,2.729,2.525
Nova Scotia,2020-12-26,1474,9,65,0,0,0,0.2,0.1,4.41,0.0
Ontario,2020-12-27,175584,2140,4572,42,1168,40,0.0,0.0,2.604,1.963
Saskatchewan,2020-12-27,14814,559,140,6,182,57,0.2,0.0,0.945,1.073
Nova Scotia,2020-12-27,1477,3,65,0,0,0,0.2,0.0,4.401,0.0
Quebec,2020-12-27,186074,2058,7662,46,1085,157,0.2,0.0,4.118,2.235
Prince Edward Island,2020-12-27,94,0,0,0,0,0,0.7,0.0,0.0,0.0
Alberta,2020-12-27,98347,955,1002,112,821,0,0.1,0.0,1.019,11.728
Nunavut,2020-12-27,265,0,1,0,0,0,0.0,0.0,0.377,0.0
Northwest Territories,2020-12-27,24,0,0,0,0,0,0.0,0.0,0.0,0.0
Newfoundland and Labrador,2020-12-27,387,3,4,0,1,0,0.3,0.0,1.034,0.0
Yukon,2020-12-27,70,0,1,0,0,0,0.0,0.0,1.429,0.0
British Columbia,2020-12-27,50654,476,808,0,341,0,0.2,0.0,1.595,0.0
New Brunswick,2020-12-27,592,2,8,0,2,1,0.3,0.0,1.351,0.0
Nova Scotia,2020-12-28,1478,1,65,0,0,0,0.2,0.0,4.398,0.0
Nunavut,2020-12-28,266,1,1,0,0,0,0.0,0.0,0.376,0.0
Prince Edward Island,2020-12-28,94,0,0,0,0,0,0.7,0.0,0.0,0.0
Ontario,2020-12-28,178325,2741,4611,39,1230,62,0.0,0.0,2.586,1.423
British Columbia,2020-12-28,51058,404,808,0,341,0,0.2,0.0,1.583,0.0
New Brunswick,2020-12-28,593,1,8,0,3,1,0.3,0.0,1.349,0.0
Alberta,2020-12-28,99243,896,1028,26,878,57,0.1,0.0,1.036,2.902
Quebec,2020-12-28,188314,2240,7706,44,1124,39,0.2,0.0,4.092,1.964
Northwest Territories,2020-12-28,24,0,0,0,0,0,0.0,0.0,0.0,0.0
Newfoundland and Labrador,2020-12-28,389,2,4,0,1,0,0.3,0.0,1.028,0.0
Manitoba,2020-12-28,24265,116,672,5,343,2,0.2,0.0,2.769,4.31
Yukon,2020-12-28,70,0,1,0,0,0,0.0,0.0,1.429,0.0
British Columbia,2020-12-29,51676,618,882,74,373,32,0.2,0.0,1.707,11.974
Prince Edward Island,2020-12-29,96,2,0,0,0,0,0.7,0.0,0.0,0.0
Northwest Territories,2020-12-29,24,0,0,0,0,0,0.0,0.0,0.0,0.0
Newfoundland and Labrador,2020-12-29,390,1,4,0,1,0,0.3,0.0,1.026,0.0
Nunavut,2020-12-29,266,0,1,0,0,0,0.0,0.0,0.376,0.0
Ontario,2020-12-29,181517,3192,4660,49,1270,40,0.0,0.0,2.567,1.535
Nova Scotia,2020-12-29,1480,2,65,0,1,1,0.2,0.0,4.392,0.0
Quebec,2020-12-29,190457,2143,7747,41,1133,9,0.2,0.0,4.068,1.913
Alberta,2020-12-29,100607,1364,1046,18,890,12,0.1,0.0,1.04,1.32
New Brunswick,2020-12-29,595,2,8,0,3,0,0.3,0.0,1.345,0.0
Yukon,2020-12-29,70,0,1,0,0,0,0.0,0.0,1.429,0.0
Quebec,2020-12-30,193557,3100,7791,44,1211,78,0.2,0.0,4.025,1.419
Northwest Territories,2020-12-30,24,0,0,0,0,0,0.0,0.0,0.0,0.0
Alberta,2020-12-30,101870,1263,1046,0,921,31,0.1,0.0,1.027,0.0
Yukon,2020-12-30,70,0,1,0,0,0,0.0,0.0,1.429,0.0
Nunavut,2020-12-30,266,0,1,0,0,0,0.0,0.0,0.376,0.0
Newfoundland and Labrador,2020-12-30,390,0,4,0,1,0,0.3,0.0,1.026,0.0
Prince Edward Island,2020-12-30,96,0,0,0,0,0,0.7,0.0,0.0,0.0
Nova Scotia,2020-12-30,1483,3,65,0,1,0,0.2,0.0,4.383,0.0
British Columbia,2020-12-30,52270,594,893,11,379,6,0.2,0.0,1.708,1.852
Ontario,2020-12-31,187735,3411,4758,50,1287,18,0.0,0.0,2.534,1.466
Yukon,2020-12-31,71,1,1,0,0,0,0.0,0.0,1.408,0.0
Newfoundland and Labrador,2020-12-31,390,0,4,0,1,0,0.3,0.0,1.026,0.0
Nova Scotia,2020-12-31,1486,3,65,0,1,0,0.2,0.0,4.374,0.0
Prince Edward Island,2020-12-31,96,0,0,0,0,0,0.7,0.0,0.0,0.0
Northwest Territories,2020-12-31,24,0,0,0,0,0,0.0,0.0,0.0,0.0
Nunavut,2020-12-31,266,0,1,0,0,0,0.0,0.0,0.376,0.0
Alberta,2020-12-31,103230,1360,1046,0,921,0,0.1,0.0,1.013,0.0
Manitoba,2020-12-31,24699,185,683,3,337,0,0.2,0.0,2.765,1.622
Northwest Territories,2021-01-01,24,0,0,0,0,0,0.0,0.0,0.0,0.0
Alberta,2021-01-01,104151,921,1046,0,921,0,0.1,0.0,1.004,0.0
Nunavut,2021-01-01,266,0,1,0,0,0,0.0,0.0,0.376,0.0
British Columbia,2021-01-01,53485,596,901,0,374,0,0.2,0.0,1.685,0.0
Manitoba,2021-01-01,24853,154,690,7,337,0,0.2,0.0,2.776,4.545
Saskatchewan,2021-01-01,15350,0,153,0,142,0,0.2,0.0,0.997,0.0
Newfoundland and Labrador,2021-01-01,390,0,4,0,1,0,0.3,0.0,1.026,0.0
Yukon,2021-01-01,78,7,1,0,0,0,0.0,0.0,1.282,0.0
Nova Scotia,2021-01-01,1497,11,65,0,1,0,0.2,0.0,4.342,0.0
Prince Edward Island,2021-01-01,96,0,0,0,0,0,0.7,0.0,0.0,0.0
New Brunswick,2021-01-01,601,2,9,0,1,0,0.3,0.0,1.498,0.0
Ontario,2021-01-01,191012,3277,4810,52,1333,46,0.0,0.0,2.518,1.587
Ontario,2021-01-02,193900,2888,4852,42,1390,57,0.0,0.0,2.502,1.454
Prince Edward Island,2021-01-02,96,0,0,0,0,0,1.0,0.3,0.0,0.0
Saskatchewan,2021-01-02,15845,495,156,3,160,18,0.3,0.1,0.985,0.606
Newfoundland and Labrador,2021-01-02,390,0,4,0,1,0,0.3,0.0,1.026,0.0
Nova Scotia,2021-01-02,1499,2,65,0,1,0,0.3,0.1,4.336,0.0
Nunavut,2021-01-02,266,0,1,0,0,0,0.0,0.0,0.376,0.0
Yukon,2021-01-02,78,0,1,0,0,0,0.0,0.0,1.282,0.0
Alberta,2021-01-02,104617,466,1046,0,921,0,0.3,0.2,1.0,0.0
Northwest Territories,2021-01-02,24,0,0,0,0,0,0.3,0.3,0.0,0.0
British Columbia,2021-01-02,53899,414,901,0,374,0,0.5,0.3,1.672,0.0
New Brunswick,2021-01-02,611,10,9,0,1,0,0.4,0.1,1.473,0.0
British Columbia,2021-01-03,54436,537,901,0,374,0,0.5,0.0,1.655,0.0
Nova Scotia,2021-01-03,1501,2,65,0,1,0,0.3,0.0,4.33,0.0
Newfoundland and Labrador,2021-01-03,390,0,4,0,1,0,0.3,0.0,1.026,0.0
Northwest Territories,2021-01-03,24,0,0,0,0,0,0.3,0.0,0.0,0.0
Prince Edward Island,2021-01-03,96,0,0,0,0,0,1.0,0.0,0.0,0.0
Quebec,2021-01-03,203828,2287,7960,45,1225,150,0.3,0.0,3.905,1.968
Nunavut,2021-01-03,266,0,1,0,0,0,0.0,0.0,0.376,0.0
Alberta,2021-01-03,105755,1138,1142,96,921,0,0.3,0.0,1.08,8.436
Yukon,2021-01-03,79,1,1,0,0,0,0.0,0.0,1.266,0.0
Manitoba,2021-01-03,25127,94,700,3,339,5,0.2,0.0,2.786,3.191
New Brunswick,2021-01-03,618,7,9,0,1,0,0.4,0.0,1.456,0.0
Ontario,2021-01-03,197201,3301,4900,48,1435,45,0.0,0.0,2.485,1.454
Northwest Territories,2021-01-04,24,0,0,0,0,0,0.3,0.0,0.0,0.0
Prince Edward Island,2021-01-04,96,0,0,0,0,0,1.0,0.0,0.0,0.0
Nunavut,2021-01-04,266,0,1,0,0,0,0.0,0.0,0.376,0.0
New Brunswick,2021-01-04,635,17,9,0,1,0,0.4,0.0,1.417,0.0
Ontario,2021-01-04,200342,3141,4955,55,1480,45,0.0,0.0,2.473,1.751
Yukon,2021-01-04,80,1,1,0,0,0,0.0,0.0,1.25,0.0
Saskatchewan,2021-01-04,16367,284,158,2,180,28,0.3,0.0,0.965,0.704
Nova Scotia,2021-01-04,1505,4,65,0,1,0,0.3,0.0,4.319,0.0
Newfoundland and Labrador,2021-01-04,391,1,4,0,1,0,0.3,0.0,1.023,0.0
Manitoba,2021-01-04,25249,122,704,4,340,1,0.2,0.0,2.788,3.279
Quebec,2021-01-04,206168,2340,8003,43,1294,69,0.3,0.0,3.882,1.838
Alberta,2021-01-05,107780,1148,1193,25,919,14,0.3,0.0,1.107,2.178
Nunavut,2021-01-05,266,0,1,0,0,0,0.0,0.0,0.376,0.0
British Columbia,2021-01-05,55518,565,954,8,367,16,0.5,0.0,1.718,1.416
Ontario,2021-01-05,203666,3324,5007,52,1483,3,0.0,0.0,2.458,1.564
New Brunswick,2021-01-05,662,27,9,0,1,0,0.4,0.0,1.36,0.0
Yukon,2021-01-05,81,1,1,0,0,0,0.0,0.0,1.235,0.0
Quebec,2021-01-05,208678,2510,8052,49,1317,23,0.3,0.0,3.859,1.952
Northwest Territories,2021-01-05,24,0,0,0,0,0,0.3,0.0,0.0,0.0
Prince Edward Island,2021-01-05,97,1,0,0,0,0,1.0,0.0,0.0,0.0
Newfoundland and Labrador,2021-01-05,392,1,4,0,1,0,0.3,0.0,1.02,0.0
Saskatchewan,2021-01-06,16804,284,172,9,172,6,0.3,0.0,1.024,3.169
Newfoundland and Labrador,2021-01-06,392,0,4,0,1,0,0.3,0.0,1.02,0.0
Nunavut,2021-01-06,266,0,1,0,0,0,0.0,0.0,0.376,0.0
Northwest Territories,2021-01-06,24,0,0,0,0,0,0.3,0.0,0.0,0.0
British Columbia,2021-01-06,56124,606,962,8,381,14,0.5,0.0,1.714,1.32
Ontario,2021-01-06,207404,3738,5059,52,1507,24,0.0,0.0,2.439,1.391
Prince Edward Island,2021-01-06,101,4,0,0,0,0,1.0,0.0,0.0,0.0
Quebec,2021-01-06,211313,2635,8106,54,1393,76,0.3,0.0,3.836,2.049
Yukon,2021-01-06,83,2,1,0,0,0,0.0,0.0,1.205,0.0
New Brunswick,2021-01-06,693,31,9,0,1,0,0.4,0.0,1.299,0.0
Nova Scotia,2021-01-06,1520,12,65,0,0,0,0.3,0.0,4.276,0.0
Newfoundland and Labrador,2021-01-07,392,0,4,0,1,0,0.3,0.0,1.02,0.0
Prince Edward Island,2021-01-07,102,1,0,0,0,0,1.0,0.0,0.0,0.0
Northwest Territories,2021-01-07,24,0,0,0,0,0,0.3,0.0,0.0,0.0
Nova Scotia,2021-01-07,1523,3,65,0,0,0,0.3,0.0,4.268,0.0
Nunavut,2021-01-07,266,0,1,0,0,0,0.0,0.0,0.376,0.0
New Brunswick,2021-01-07,717,24,9,0,1,0,0.4,0.0,1.255,0.0
Ontario,2021-01-07,211573,4169,5108,49,1516,9,0.0,0.0,2.414,1.175
Saskatchewan,2021-01-07,17138,334,175,3,176,4,0.3,0.0,1.021,0.898
Yukon,2021-01-07,83,0,1,0,0,0,0.0,0.0,1.205,0.0
Nunavut,2021-01-08,266,0,1,0,0,0,0.0,0.0,0.376,0.0
Ontario,2021-01-08,215396,3823,5155,47,1541,25,0.0,0.0,2.393,1.229
Prince Edward Island,2021-01-08,102,0,0,0,0,0,1.0,0.0,0.0,0.0
Quebec,2021-01-08,216762,2799,8194,47,1403,23,0.3,0.0,3.78,1.679
Yukon,2021-01-08,83,0,1,0,0,0,0.0,0.0,1.205,0.0
Newfoundland and Labrador,2021-01-08,392,0,4,0,1,0,0.3,0.0,1.02,0.0
Saskatchewan,2021-01-08,17474,336,182,7,180,4,0.3,0.0,1.042,2.083
Nova Scotia,2021-01-08,1525,2,65,0,0,0,0.3,0.0,4.262,0.0
Northwest Territories,2021-01-08,24,0,0,0,0,0,0.3,0.0,0.0,0.0
Northwest Territories,2021-01-09,24,0,0,0,0,0,1.2,0.9,0.0,0.0
Prince Edward Island,2021-01-09,102,0,0,0,0,0,1.5,0.5,0.0,0.0
Newfoundland and Labrador,2021-01-09,392,0,4,0,1,0,0.5,0.2,1.02,0.0
Nunavut,2021-01-09,266,0,1,0,0,0,0.1,0.1,0.376,0.0
New Brunswick,2021-01-09,765,30,9,0,0,0,0.8,0.4,1.176,0.0
Nova Scotia,2021-01-09,1528,3,65,0,0,0,0.3,0.0,4.254,0.0
British Columbia,2021-01-09,57727,531,988,0,358,0,1.2,0.7,1.712,0.0
Yukon,2021-01-09,83,0,1,0,0,0,1.1,1.1,1.205,0.0
Ontario,2021-01-09,218773,3377,5218,63,1596,55,0.0,0.0,2.385,1.866
Northwest Territories,2021-01-10,24,0,0,0,0,0,1.2,0.0,0.0,0.0
Nunavut,2021-01-10,266,0,1,0,0,0,0.1,0.0,0.376,0.0
Newfoundland and Labrador,2021-01-10,393,1,4,0,1,0,0.5,0.0,1.018,0.0
British Columbia,2021-01-10,58176,449,988,0,358,0,1.2,0.0,1.698,0.0
Nova Scotia,2021-01-10,1528,0,65,0,0,0,0.3,0.0,4.254,0.0
Saskatchewan,2021-01-10,17803,0,189,0,179,0,0.5,0.0,1.062,0.0
New Brunswick,2021-01-10,779,14,9,0,0,0,0.8,0.0,1.155,0.0
Prince Edward Island,2021-01-10,102,0,0,0,0,0,1.5,0.0,0.0,0.0
Yukon,2021-01-10,83,0,1,0,0,0,1.1,0.0,1.205,0.0
Manitoba,2021-01-10,26310,140,749,5,322,9,0.6,0.0,2.847,3.571
Ontario,2021-01-10,221876,3103,5269,51,1714,118,0.0,0.0,2.375,1.644
Nova Scotia,2021-01-11,1533,5,65,0,0,0,0.3,0.0,4.24,0.0
British Columbia,2021-01-11,58583,407,1010,22,358,0,1.2,0.0,1.724,5.405
Quebec,2021-01-11,223509,2239,8331,39,1438,58,1.0,0.0,3.727,1.742
Yukon,2021-01-11,83,0,1,0,0,0,1.1,0.0,1.205,0.0
Alberta,2021-01-11,113014,675,1345,38,811,17,1.0,0.0,1.19,5.63
Northwest Territories,2021-01-11,24,0,0,0,0,0,1.2,0.0,0.0,0.0
Saskatchewan,2021-01-11,18522,719,197,8,197,18,0.5,0.0,1.064,1.113
Nunavut,2021-01-11,266,0,1,0,0,0,0.1,0.0,0.376,0.0
Prince Edward Island,2021-01-11,102,0,0,0,0,0,1.5,0.0,0.0,0.0
Newfoundland and Labrador,2021-01-11,393,0,4,0,1,0,0.5,0.0,1.018,0.0
New Brunswick,2021-01-11,800,21,9,0,1,1,0.8,0.0,1.125,0.0
Northwest Territories,2021-01-12,24,0,0,0,0,0,1.2,0.0,0.0,0.0
Nunavut,2021-01-12,266,0,1,0,0,0,0.1,0.0,0.376,0.0
Yukon,2021-01-12,83,0,1,0,0,0,1.1,0.0,1.205,0.0
British Columbia,2021-01-12,59086,503,1019,9,368,10,1.2,0.0,1.725,1.789
Quebec,2021-01-12,225348,1839,8378,47,1499,61,1.0,0.0,3.718,2.556
Newfoundland and Labrador,2021-01-12,393,0,4,0,1,0,0.5,0.0,1.018,0.0
Prince Edward Island,2021-01-12,103,1,0,0,0,0,1.5,0.0,0.0,0.0
Nova Scotia,2021-01-12,1534,1,65,0,0,0,0.3,0.0,4.237,0.0
Alberta,2021-01-12,113881,867,1368,23,819,8,1.0,0.0,1.201,2.653
Prince Edward Island,2021-01-13,103,0,0,0,0,0,1.5,0.0,0.0,0.0
Yukon,2021-01-13,83,0,1,0,0,0,1.1,0.0,1.205,0.0
New Brunswick,2021-01-13,836,19,12,1,3,3,0.8,0.0,1.435,5.263
Alberta,2021-01-13,114847,966,1389,21,820,1,1.0,0.0,1.209,2.174
Nova Scotia,2021-01-13,1542,8,65,0,0,0,0.3,0.0,4.215,0.0
Northwest Territories,2021-01-13,24,0,0,0,0,0,1.2,0.0,0.0,0.0
Newfoundland and Labrador,2021-01-13,393,0,4,0,1,0,0.5,0.0,1.018,0.0
Quebec,2021-01-13,227513,2165,8430,52,1516,17,1.0,0.0,3.705,2.402
Saskatchewan,2021-01-13,19017,247,203,2,205,14,0.5,0.0,1.067,0.81
Nunavut,2021-01-13,266,0,1,0,0,0,0.1,0.0,0.376,0.0
Nova Scotia,2021-01-14,1548,6,65,0,0,0,0.3,0.0,4.199,0.0
Prince Edward Island,2021-01-14,104,1,0,0,0,0,1.5,0.0,0.0,0.0
New Brunswick,2021-01-14,859,23,12,0,3,0,0.8,0.0,1.397,0.0
Quebec,2021-01-14,229562,2049,8493,63,1525,9,1.0,0.0,3.7,3.075
Nunavut,2021-01-14,266,0,1,0,0,0,0.1,0.0,0.376,0.0
British Columbia,2021-01-14,60102,495,1038,7,362,2,1.2,0.0,1.727,1.414
Saskatchewan,2021-01-14,19329,312,203,0,206,1,0.5,0.0,1.05,0.0
Newfoundland and Labrador,2021-01-14,394,1,4,0,1,0,0.5,0.0,1.015,0.0
Northwest Territories,2021-01-14,24,0,0,0,0,0,1.2,0.0,0.0,0.0
Manitoba,2021-01-14,26954,257,765,1,290,1,0.6,0.0,2.838,0.389
Yukon,2021-01-14,83,0,1,0,0,0,1.1,0.0,1.205,0.0
Saskatchewan,2021-01-15,19715,386,207,4,210,4,0.5,0.0,1.05,1.036
Yukon,2021-01-15,83,0,1,0,0,0,1.1,0.0,1.205,0.0
Prince Edward Island,2021-01-15,104,0,0,0,0,0,1.5,0.0,0.0,0.0
Nunavut,2021-01-15,266,0,1,0,0,0,0.1,0.0,0.376,0.0
New Brunswick,2021-01-15,884,25,12,0,4,1,0.8,0.0,1.357,0.0
Northwest Territories,2021-01-15,25,1,0,0,0,0,1.2,0.0,0.0,0.0
Nova Scotia,2021-01-15,1550,2,65,0,0,0,0.3,0.0,4.194,0.0
Newfoundland and Labrador,2021-01-15,395,1,4,0,1,0,0.5,0.0,1.013,0.0
Yukon,2021-01-16,83,0,1,0,0,0,3.0,1.9,1.205,0.0
Nova Scotia,2021-01-16,1554,4,65,0,0,0,0.6,0.3,4.183,0.0
Newfoundland and Labrador,2021-01-16,395,0,4,0,1,0,0.8,0.3,1.013,0.0
Prince Edward Island,2021-01-16,104,0,0,0,0,0,2.6,1.1,0.0,0.0
British Columbia,2021-01-16,61134,460,1047,0,349,0,1.7,0.5,1.713,0.0
Northwest Territories,2021-01-16,25,0,0,0,0,0,4.3,3.1,0.0,0.0
Nunavut,2021-01-16,266,0,1,0,0,0,5.4,5.3,0.376,0.0
Saskatchewan,2021-01-17,20272,287,212,3,203,4,1.2,0.0,1.046,1.045
Nunavut,2021-01-17,266,0,1,0,0,0,5.4,0.0,0.376,0.0
Northwest Territories,2021-01-17,28,3,0,0,0,0,4.3,0.0,0.0,0.0
Nova Scotia,2021-01-17,1557,3,65,0,0,0,0.6,0.0,4.175,0.0
Newfoundland and Labrador,2021-01-17,396,1,4,0,1,0,0.8,0.0,1.01,0.0
Ontario,2021-01-17,242243,2085,5663,78,1632,20,1.3,0.0,2.338,3.741
Manitoba,2021-01-17,27505,183,779,5,292,9,1.2,0.0,2.832,2.732
British Columbia,2021-01-17,61450,316,1047,0,349,0,1.7,0.0,1.704,0.0
Yukon,2021-01-17,83,0,1,0,0,0,3.0,0.0,1.205,0.0
Prince Edward Island,2021-01-17,104,0,0,0,0,0,2.6,0.0,0.0,0.0
Yukon,2021-01-18,83,0,1,0,0,0,3.0,0.0,1.205,0.0
Nova Scotia,2021-01-18,1557,0,65,0,0,0,0.6,0.0,4.175,0.0
Quebec,2021-01-18,236689,1374,8686,44,1492,32,1.7,0.0,3.67,3.202
Nunavut,2021-01-18,266,0,1,0,0,0,5.4,0.0,0.376,0.0
New Brunswick,2021-01-18,973,26,12,0,1,0,1.0,0.0,1.233,0.0
Alberta,2021-01-18,117994,462,1463,16,739,1,1.8,0.0,1.24,3.463
Newfoundland and Labrador,2021-01-18,396,0,4,0,1,0,0.8,0.0,1.01,0.0
Northwest Territories,2021-01-18,28,0,0,0,0,0,4.3,0.0,0.0,0.0
Prince Edward Island,2021-01-18,108,4,0,0,0,0,2.6,0.0,0.0,0.0
Saskatchewan,2021-01-18,20562,290,216,4,210,7,1.2,0.0,1.05,1.379
Quebec,2021-01-19,238063,1374,8738,52,1500,8,1.7,0.0,3.67,3.785
Newfoundland and Labrador,2021-01-19,396,0,4,0,1,0,0.8,0.0,1.01,0.0
