Province,Date,Cumulative confirmed cases,Confirmed cases per day,Cumulative death cases,Deaths per day,Cumulative hospitalizations cases,hospitalizations per day,Cumulative vaccine coverage dose1,Vaccine coverage dose1 per day,Mortality rate,Daily mortality rate
Northwest Territories,2022-04-05,11004,0,21,0,0,0,80.4,0.0,0.191,0.0
New Brunswick,2022-04-05,51854,0,358,0,78,0,86.0,0.0,0.69,0.0
Saskatchewan,2022-04-05,131771,0,1252,0,324,0,79.8,0.0,0.95,0.0
British Columbia,2022-04-05,357699,216,3004,0,334,13,84.7,0.0,0.84,0.0
Yukon,2022-04-05,4295,9,24,0,0,0,83.1,0.0,0.559,0.0
Newfoundland and Labrador,2022-04-05,39994,303,118,0,43,0,94.8,0.0,0.295,0.0
Prince Edward Island,2022-04-05,28375,2576,19,1,19,0,87.8,0.0,0.067,0.039
Quebec,2022-04-05,976971,3420,13862,23,1479,72,84.8,0.0,1.419,0.673
Manitoba,2022-04-05,136573,0,1751,0,359,0,81.9,0.0,1.282,0.0
Prince Edward Island,2022-04-06,28375,0,19,0,19,0,87.8,0.0,0.067,0.0
Manitoba,2022-04-06,136573,0,1751,0,386,27,81.9,0.0,1.282,0.0
Nova Scotia,2022-04-06,47123,0,263,0,51,0,88.2,0.0,0.558,0.0
Yukon,2022-04-06,4319,24,24,0,0,0,83.1,0.0,0.556,0.0
New Brunswick,2022-04-06,51854,0,358,0,78,0,86.0,0.0,0.69,0.0
Northwest Territories,2022-04-06,11004,0,21,0,0,0,80.4,0.0,0.191,0.0
Ontario,2022-04-06,1196066,3674,12588,8,1149,20,82.9,0.0,1.052,0.218
Saskatchewan,2022-04-06,131771,0,1252,0,324,0,79.8,0.0,0.95,0.0
Alberta,2022-04-06,547510,1010,4104,0,990,26,78.2,0.0,0.75,0.0
Newfoundland and Labrador,2022-04-06,40333,339,122,4,47,4,94.8,0.0,0.302,1.18
Quebec,2022-04-06,980719,3748,13882,20,1540,61,84.8,0.0,1.415,0.534
Quebec,2022-04-07,984265,3546,13895,13,1582,42,84.8,0.0,1.412,0.367
Yukon,2022-04-07,4341,22,24,0,0,0,83.1,0.0,0.553,0.0
Alberta,2022-04-07,548429,919,4104,0,990,0,78.2,0.0,0.748,0.0
New Brunswick,2022-04-07,51854,0,358,0,78,0,86.0,0.0,0.69,0.0
Manitoba,2022-04-07,136573,0,1751,0,386,0,81.9,0.0,1.282,0.0
Nova Scotia,2022-04-07,47123,0,263,0,51,0,88.2,0.0,0.558,0.0
Newfoundland and Labrador,2022-04-07,40616,283,122,0,47,0,94.8,0.0,0.3,0.0
Northwest Territories,2022-04-07,11004,0,21,0,0,0,80.4,0.0,0.191,0.0
Saskatchewan,2022-04-07,131771,0,1252,0,354,30,79.8,0.0,0.95,0.0
Ontario,2022-04-07,1199779,3713,12599,11,1224,75,82.9,0.0,1.05,0.296
Prince Edward Island,2022-04-07,28375,0,19,0,19,0,87.8,0.0,0.067,0.0
British Columbia,2022-04-08,358501,258,3004,0,324,0,84.7,0.0,0.838,0.0
Saskatchewan,2022-04-08,131771,0,1252,0,354,0,79.8,0.0,0.95,0.0
New Brunswick,2022-04-08,51854,0,358,0,78,0,86.0,0.0,0.69,0.0
Northwest Territories,2022-04-08,11004,0,21,0,0,0,80.4,0.0,0.191,0.0
Yukon,2022-04-08,4356,15,24,0,0,0,83.1,0.0,0.551,0.0
Alberta,2022-04-08,549361,932,4104,0,990,0,78.2,0.0,0.747,0.0
Nova Scotia,2022-04-08,47123,0,263,0,51,0,88.2,0.0,0.558,0.0
Manitoba,2022-04-08,136573,0,1751,0,386,0,81.9,0.0,1.282,0.0
Newfoundland and Labrador,2022-04-08,41009,393,124,2,47,0,94.8,0.0,0.302,0.509
Quebec,2022-04-08,987852,3587,13907,12,1637,55,84.8,0.0,1.408,0.335
Prince Edward Island,2022-04-08,28375,0,19,0,19,0,87.8,0.0,0.067,0.0
Northwest Territories,2022-04-09,11004,0,21,0,0,0,80.4,0.0,0.191,0.0
Newfoundland and Labrador,2022-04-09,41252,243,124,0,47,0,94.8,0.0,0.301,0.0
Alberta,2022-04-09,550183,822,4104,0,990,0,78.2,0.0,0.746,0.0
Saskatchewan,2022-04-09,132822,1051,1272,20,354,0,79.8,0.0,0.958,1.903
Ontario,2022-04-09,1206580,3079,12613,7,1309,149,82.9,0.0,1.045,0.227
Nova Scotia,2022-04-09,47123,0,263,0,51,0,88.2,0.0,0.558,0.0
New Brunswick,2022-04-09,55812,3958,368,10,79,1,86.0,0.0,0.659,0.253
Prince Edward Island,2022-04-09,28375,0,19,0,19,0,87.8,0.0,0.067,0.0
British Columbia,2022-04-09,358740,239,3036,32,324,0,84.7,0.0,0.846,13.389
Manitoba,2022-04-09,138271,1698,1759,8,386,0,81.9,0.0,1.272,0.471
Quebec,2022-04-09,990809,2957,13929,22,1699,62,84.8,0.0,1.406,0.744
Yukon,2022-04-09,4371,15,24,0,0,0,83.1,0.0,0.549,0.0
Saskatchewan,2022-04-10,132822,0,1272,0,354,0,79.9,0.1,0.958,0.0
Manitoba,2022-04-10,138271,0,1759,0,386,0,81.9,0.0,1.272,0.0
Newfoundland and Labrador,2022-04-10,41427,175,124,0,47,0,94.8,0.0,0.299,0.0
Northwest Territories,2022-04-10,11004,0,21,0,0,0,80.4,0.0,0.191,0.0
Prince Edward Island,2022-04-10,28375,0,19,0,19,0,87.9,0.1,0.067,0.0
Quebec,2022-04-10,993415,2606,13948,19,1708,9,84.9,0.1,1.404,0.729
Alberta,2022-04-10,550774,591,4104,0,990,0,78.2,0.0,0.745,0.0
Nova Scotia,2022-04-10,47123,0,263,0,51,0,88.2,0.0,0.558,0.0
Yukon,2022-04-10,4388,17,24,0,0,0,83.1,0.0,0.547,0.0
British Columbia,2022-04-10,359003,263,3036,0,324,0,84.8,0.1,0.846,0.0
Ontario,2022-04-10,1208643,2063,12631,18,1379,70,82.9,0.0,1.045,0.873
New Brunswick,2022-04-10,55812,0,368,0,79,0,86.1,0.1,0.659,0.0
Manitoba,2022-04-11,138271,0,1759,0,386,0,81.9,0.0,1.272,0.0
Yukon,2022-04-11,4401,13,24,0,0,0,83.1,0.0,0.545,0.0
Northwest Territories,2022-04-11,11136,132,21,0,0,0,80.4,0.0,0.189,0.0
British Columbia,2022-04-11,359253,250,3036,0,324,0,84.8,0.0,0.845,0.0
New Brunswick,2022-04-11,55812,0,368,0,79,0,86.1,0.0,0.659,0.0
Nova Scotia,2022-04-11,47123,0,277,14,51,0,88.2,0.0,0.588,0.0
Alberta,2022-04-11,551613,839,4141,37,990,0,78.2,0.0,0.751,4.41
Prince Edward Island,2022-04-11,28375,0,19,0,19,0,87.9,0.0,0.067,0.0
Saskatchewan,2022-04-11,132822,0,1272,0,354,0,79.9,0.0,0.958,0.0
Quebec,2022-04-11,995861,2446,13967,19,1793,85,84.9,0.0,1.403,0.777
British Columbia,2022-04-12,359594,341,3036,0,324,0,84.8,0.0,0.844,0.0
Newfoundland and Labrador,2022-04-12,41789,205,130,0,35,0,94.8,0.0,0.311,0.0
Northwest Territories,2022-04-12,11136,0,21,0,0,0,80.4,0.0,0.189,0.0
New Brunswick,2022-04-12,55812,0,368,0,79,0,86.1,0.0,0.659,0.0
Ontario,2022-04-12,1215671,4229,12654,13,1400,33,82.9,0.0,1.041,0.307
Alberta,2022-04-12,552625,1012,4141,0,990,0,78.2,0.0,0.749,0.0
Manitoba,2022-04-12,138271,0,1759,0,426,40,81.9,0.0,1.272,0.0
Quebec,2022-04-12,998776,2915,13992,25,1938,145,84.9,0.0,1.401,0.858
Saskatchewan,2022-04-12,132822,0,1272,0,354,0,79.9,0.0,0.958,0.0
Yukon,2022-04-12,4413,12,24,0,0,0,83.1,0.0,0.544,0.0
Nova Scotia,2022-04-12,47123,0,277,0,51,0,88.2,0.0,0.588,0.0
Prince Edward Island,2022-04-12,30604,2229,21,2,36,17,87.9,0.0,0.069,0.09
Alberta,2022-04-13,553649,1024,4141,0,1053,63,78.2,0.0,0.748,0.0
New Brunswick,2022-04-13,55812,0,368,0,79,0,86.1,0.0,0.659,0.0
Saskatchewan,2022-04-13,132822,0,1272,0,354,0,79.9,0.0,0.958,0.0
British Columbia,2022-04-13,359901,307,3036,0,324,0,84.8,0.0,0.844,0.0
Prince Edward Island,2022-04-13,30604,0,21,0,36,0,87.9,0.0,0.069,0.0
Quebec,2022-04-13,1002341,3565,14007,15,2060,122,84.9,0.0,1.397,0.421
Yukon,2022-04-13,4427,14,24,0,0,0,83.1,0.0,0.542,0.0
Manitoba,2022-04-13,138271,0,1759,0,426,0,81.9,0.0,1.272,0.0
Northwest Territories,2022-04-13,11136,0,21,0,0,0,80.4,0.0,0.189,0.0
Nova Scotia,2022-04-13,47123,0,277,0,51,0,88.2,0.0,0.588,0.0
Ontario,2022-04-13,1219938,4267,12673,19,1445,45,82.9,0.0,1.039,0.445
British Columbia,2022-04-14,360231,330,3036,0,324,0,84.8,0.0,0.843,0.0
Quebec,2022-04-14,1005801,3460,14033,26,2154,94,84.9,0.0,1.395,0.751
Manitoba,2022-04-14,138271,0,1759,0,426,0,81.9,0.0,1.272,0.0
Northwest Territories,2022-04-14,11136,0,21,0,0,0,80.4,0.0,0.189,0.0
Prince Edward Island,2022-04-14,30604,0,21,0,36,0,87.9,0.0,0.069,0.0
Newfoundland and Labrador,2022-04-14,42260,225,137,0,32,0,94.8,0.0,0.324,0.0
Saskatchewan,2022-04-14,132822,0,1272,0,403,49,79.9,0.0,0.958,0.0
Nova Scotia,2022-04-14,47123,0,277,0,59,8,88.2,0.0,0.588,0.0
Yukon,2022-04-14,4450,23,24,0,0,0,83.1,0.0,0.539,0.0
New Brunswick,2022-04-14,55812,0,368,0,79,0,86.1,0.0,0.659,0.0
Alberta,2022-04-14,554672,1023,4141,0,1053,0,78.2,0.0,0.747,0.0
Ontario,2022-04-14,1224083,4145,12685,12,1481,36,82.9,0.0,1.036,0.29
Ontario,2022-04-15,1227586,3503,12698,13,1528,47,82.9,0.0,1.034,0.371
New Brunswick,2022-04-15,55812,0,368,0,79,0,86.1,0.0,0.659,0.0
Manitoba,2022-04-15,138271,0,1759,0,426,0,81.9,0.0,1.272,0.0
Nova Scotia,2022-04-15,47123,0,277,0,59,0,88.2,0.0,0.588,0.0
Alberta,2022-04-15,555518,846,4141,0,1053,0,78.2,0.0,0.745,0.0
Newfoundland and Labrador,2022-04-15,42436,176,137,0,32,0,94.8,0.0,0.323,0.0
Prince Edward Island,2022-04-15,30604,0,21,0,36,0,87.9,0.0,0.069,0.0
Northwest Territories,2022-04-15,11136,0,21,0,0,0,80.4,0.0,0.189,0.0
Saskatchewan,2022-04-15,132822,0,1272,0,403,0,79.9,0.0,0.958,0.0
British Columbia,2022-04-15,360514,283,3036,0,324,0,84.8,0.0,0.842,0.0
Yukon,2022-04-15,4462,12,24,0,0,0,83.1,0.0,0.538,0.0
Newfoundland and Labrador,2022-04-16,42573,137,137,0,32,0,94.8,0.0,0.322,0.0
Manitoba,2022-04-16,139465,1194,1774,15,426,0,81.9,0.0,1.272,1.256
